ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CommaSeparator=\"TRUE\" CustomUnitOnRight=\"TRUE\" Decimals=\"0\" DisplayName=\"Day\" Format=\"Dropdown\" Name=\"Day\" Percentage=\"FALSE\" Title=\"Day\" Type=\"Number\" Unit=\"None\" ID=\"{635d441b-d4b3-4a40-8198-470b05c2e4fc}\" StaticName=\"Day\" />","<Field DisplayName=\"Headline\" Format=\"Dropdown\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"Headline\" Title=\"Headline\" Type=\"Text\" ID=\"{cebf08db-81d8-4bb3-a62f-b977c24131c0}\" StaticName=\"Headline\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Daily Content\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"DailyContent\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Daily Content\" Type=\"Note\" ID=\"{89419b5a-f283-45e4-8aa6-14c52643b2fb}\" StaticName=\"DailyContent\" />","<Field AppendOnly=\"FALSE\" DisplayName=\"Prompt\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"Prompt\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Prompt\" Type=\"Note\" ID=\"{224ae849-3eba-423c-ba51-48c3e3b91a3b}\" StaticName=\"Prompt\" />","<Field AppendOnly=\"FALSE\" DisplayName=\"Additional Information\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"AdditionalInformation\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Additional Information\" Type=\"Note\" ID=\"{16f87f0b-46ab-4d37-b219-b37e24a81157}\" StaticName=\"AdditionalInformation\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Prompt Link\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"PromptLink\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Prompt Link\" Type=\"Note\" ID=\"{bbedab92-bcc3-42a8-bde6-ab79e8dedf9b}\" StaticName=\"PromptLink\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" DisplayName=\"Title\" Description=\"\" Name=\"LinkTitle\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" Type=\"Computed\" ReadOnly=\"TRUE\" FromBaseType=\"TRUE\" Width=\"150\" DisplayNameSrcField=\"Title\" Sealed=\"FALSE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Day","Headline","Daily Content","Prompt","Prompt Link","Additional Information"
"1","Communicate like a pro with Microsoft 365 Copilot Chat.","Welcome to the Great Copilot Journey for Microsoft 365 Copilot Chat. Over the next six weeks, you’ll embark on a daily email series that will transform how you work with Copilot Chat. Each week focuses on a different skill, and each day you’ll receive a single prompt to practice as you go through your day. It’s an easy and quick way to become a pro at using Copilot Chat, one simple prompt at a time. 
 
This week, we kick things off by elevating your writing and communication prowess. Ready? Let&#39;s dive in! 
 
Just click on the link, or open Copilot Chat and type in this prompt: ","Prepare a daily brief of news from the [finance industry] regarding [cryptocurrency].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdJNE5tSXlaR1ppTFRZeU1tSXROR1F4WWkxaU56TTBMVFUyTWpka05HUmhPV0pqWkh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQ==","Looking for a bit of humor? Tailor this prompt to match your desired tone and style.
 
Pro tip: Simply hover over a submitted prompt and click the bookmark icon to save it or share the link with your team. 
 
To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"2","Communicate in other languages with Microsoft 365 Copilot Chat","Discover a world of communication with Microsoft 365 Copilot Chat! Effortlessly translate text into other languages and explore how easy it can be to break language barriers.
 
Click on the link, or open Copilot Chat and type in this prompt:","How do you say [thank you for your time] in Japanese?","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRFeU5qZ3lNakprTFRNMU5tWXROREF5WXkxaVpERmlMV1poTlRJeE4yRTRNekZsTTN4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQ==","Ask Copilot to translate text into your preferred language, making it easier to connect and communicate with others around the globe.
 
Love this prompt? Hover over a submitted prompt and click the bookmark icon to save it or share the link with your team.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"3","Write an email with Microsoft 365 Copilot Chat","Get ready to revolutionize your email game with Copilot Chat! Imagine drafting emails that are polished, professional, and tailored to your needs—all with a few simple clicks. Let’s do this!
 
Just click on the link, or open Copilot Chat and type in this prompt:","Draft an email to [Mila] about [reviewing the proposal by FriDay ].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRsaFl6SmxOVEU1TFRjNE1UUXROREkxWkMwNVlXRmxMVEF4TjJOa1pXSmpNelk0WTN4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Add specific details or try pasting an email and letting Copilot craft a polished response for you.
 
Want to use this prompt again? Hover over a submitted prompt and click the bookmark icon to save it or share the link with your team.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"4","Improve your writing with Microsoft 365 Copilot Chat","Unleash your inner wordsmith with Microsoft 365 Copilot Chat! Whether you&#39;re crafting an email or polishing a report, Copilot Chat is here to help elevate your writing to captivate your audience.
 
Just click on the link, or open Copilot Chat and type in this prompt:","Analyze the text in the following and make suggestions on how to improve it: [Insert text].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdKaU9EUTFOMll6TFRka1pEWXRORGc1TXkwNU0yRXpMVFV4TXpJeE5tUTJOekJpWkh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQ==","You can also upload a Microsoft Word document and get feedback from Copilot to streamline it for you.
 
Find this prompt useful? Simply hover over a submitted prompt and click the bookmark icon to save it or share the link with your team.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"5","Get creative with Microsoft 365 Copilot Chat","Coloring books don’t have to be for children. They can help adults relieve stress and improve focus, too. So let’s use Microsoft 365 Copilot to create an image to practice some mindfulness toDay .
 
Click on the link, or open Copilot Chat and type in this prompt:","Create a simple coloring book image for my child featuring [our family pet]. The image should be clean line art with black outlines on a white background with open space for coloring. The outlines should be closed paths and complete objects. There should be no stray lines or smudges. Include a fun setting to further engage my child in the coloring experience.","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdVMU5UUTBOVEJpTFRNM01UQXROR0ppWWkxaFlUa3pMVEF5WkdVd1ltTTJZekZtTTN4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQ==","Adjust the prompt for your audience and share the image with your team for a mindful team activity.
 
Next week, we’ll learn how to use Copilot to kickstart your work.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"6","Kickstart your work with Microsoft 365 Copilot Chat.","Welcome to week 2 of your Great Copilot Journey with Microsoft 365 Copilot Chat! This week, we’re diving into how Copilot Chat can help you kickstart your work and reclaim precious time.
 
Let’s start by using Copilot Chat to summarize a long document.
 
Just click on the link, or open Copilot Chat and type in this prompt:","Summarize this: [Upload document].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRKaU9UTTNaVGhpTFdJNU1EZ3ROR05rWkMwNVlUVTJMV1JrTnpBNU1tWXdNalEyWm54bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Specify your audience and the style of the summary you need, like three paragraphs or a bullet list. 

To save a submitted prompt or share the link with your team, hover over the prompt and click the bookmark icon.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"7","Draft documents with Microsoft 365 Copilot Chat.","Why struggle with a blank page when you can let Microsoft 365 Copilot Chat get you started? With just this prompt, you can watch your ideas transform into compelling drafts, saving you time and kickstarting your work. Let&#39;s generate a first draft together!
 
Just click on the link, or open Copilot Chat and type in this prompt:","Create a blog post about [the latest research on AI]. Be sure to include an engaging headline and a call to action at the end.","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRGaVpUTmpaR1ZqTFRWaU4yWXRORFJsTXkxaVltVmhMVFl6TmpZMk5URXlPV0kyTW54bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Provide the necessary details you wish to include and create the type of document you need.

Love saying time with Copilot Chat? Hover over a prompt and click the bookmark icon to save. You can also share it with your team to help kickstart their work. 

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"8","Extract key takeaways with Microsoft 365 Copilot Chat","Ever feel swamped by endless documents? With Microsoft 365 Copilot Chat, you can quickly summarize documents and extract key takeaways in no time. Here we go!

Just click on the link, or open Copilot Chat and type in this prompt:","List key points from this document. [Upload file].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdSa05qWmlNakpoTFRZME1XWXRORGszWkMxaU5EQTJMVE14TmpnME5qUTNNV00xWlh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Upload a Microsoft Word or PowerPoint document and use Copilot Chat to grasp the essential points and get started on actions in no time.

Share this prompt with your team or save it for future use by hovering over the prompt and clicking the bookmark icon.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"9","Refine your ideas with Microsoft 365 Copilot Chat","When you have a rough idea but need some help refining it and putting it into action, Microsoft 365 Copilot Chat is ready to help:

Just click on the link, or open Copilot Chat and type in this prompt:","Come up with 3 ideas for products merging technology and [productivity], and provide a sample business plan for each.","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdNMk1HTmhPVFJrTFRsaU1UVXRORGsyTUMxaU5XUmhMVEk1WkRBd05UWTRNVEUyTjN4bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Copilot Chat can help you brainstorm and develop your ideas further so you can get started in no time.

This is a great prompt to share with your team and save for future use. Just hover over the prompt and click the bookmark button.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"10","Spice up your next presentation with Microsoft 365 Copilot Chat","Are you ready for your next big presentation but need some ideas to make it more engaging? Use Microsoft 365 Copilot Chat to get ideas on how to inject some fun and humor throughout your deck:

Just click on the link, or open Copilot Chat and type in this prompt:","Suggest ways to add some fun and humor into this presentation. Give specific examples of what I might include and where these would be included in the deck: [Upload presentation].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRjMlJtTFdsdWRDNXZabVpwWTJVdVkyOXRMM3hrZFcxdGVYeGpaVFZpWldZek9TMDVOVGd6TFRRelpXVXRZV1ZpTWkwMk5EWmlOVGszWVRjek9HVjhaVzR0ZFhNJTNkIiwic2NlbmFyaW8iOiJzaGFyZWxpbmtjb3BpbG90am91cm5leWNvbW1zIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQifSwiY2hhdFR5cGUiOiJ3ZWIiLCJ2ZXJzaW9uIjoxLjF9","Spice up your next presentation to capture your audience’s attention and lighten the mood.

Love these prompts and want to use them again? Simply hover over a submitted prompt and click the bookmark icon to save it. Better yet, share the link with your team to help them kickstart their work, too!

Next week, we’ll dive into using Copilot Chat to extract valuable insights.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"11","Elevate your expertise with Microsoft 365 Copilot Chat.","Let’s embark on week 3 of the Great Copilot Journey! This week, we’re leveraging the power of Microsoft 365 Copilot Chat to expand your expertise and uncover valuable insights.

Do you have a term or acronym that you aren’t really sure what it means? Copilot Chat is here to help.

Just click on the link, or open Copilot Chat and type in this prompt:","Explain [Blockchain Technology] in simple terms.","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdVeVltVTRaVEppTFRGaE9USXRORGN6TmkwNE5XUmlMVGN6TmpFd056STVZMlJtWTN4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQ==","Ask Copilot to explain, clarify or elaborate on terms or concepts.

Another handy tip? Just hover over the submitted prompt and click the bookmark icon to save it or share the link with your team. It&#39;s as easy as that!

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"12","Turn statistics into visuals with Microsoft 365 Copilot Chat","ToDay , we’ll use Microsoft 365 Copilot Chat to turn numbers into charts. Let’s bring your numbers to life and make data analysis a breeze!

Just click on the link, or open Copilot Chat and type in this prompt:","Create a pie chart showing [the market share of smartphones in the United States].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdVNU5tTXhOVEUzTFRWbVlXRXRORGMxWXkxaFltRXpMVEptWXpabU5UWXlabUV3TjN4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQ==","Provide your own statistics and create the type of chart you need with ease.

Working with a lot of numbers? Save this prompt by hovering over it and clicking the bookmark icon. You can also share the link with your team.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
