ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CommaSeparator=\"TRUE\" CustomUnitOnRight=\"TRUE\" Decimals=\"0\" DisplayName=\"Day\" Format=\"Dropdown\" Name=\"Day\" Percentage=\"FALSE\" Title=\"Day\" Type=\"Number\" Unit=\"None\" ID=\"{635d441b-d4b3-4a40-8198-470b05c2e4fc}\" StaticName=\"Day\" />","<Field DisplayName=\"Headline\" Format=\"Dropdown\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"Headline\" Title=\"Headline\" Type=\"Text\" ID=\"{cebf08db-81d8-4bb3-a62f-b977c24131c0}\" StaticName=\"Headline\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Daily Content\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"DailyContent\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Daily Content\" Type=\"Note\" ID=\"{89419b5a-f283-45e4-8aa6-14c52643b2fb}\" StaticName=\"DailyContent\" />","<Field AppendOnly=\"FALSE\" DisplayName=\"Prompt\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"Prompt\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Prompt\" Type=\"Note\" ID=\"{224ae849-3eba-423c-ba51-48c3e3b91a3b}\" StaticName=\"Prompt\" />","<Field AppendOnly=\"FALSE\" DisplayName=\"Additional Information\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"AdditionalInformation\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Additional Information\" Type=\"Note\" ID=\"{16f87f0b-46ab-4d37-b219-b37e24a81157}\" StaticName=\"AdditionalInformation\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Prompt Link\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"PromptLink\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Prompt Link\" Type=\"Note\" ID=\"{bbedab92-bcc3-42a8-bde6-ab79e8dedf9b}\" StaticName=\"PromptLink\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" DisplayName=\"Title\" Description=\"\" Name=\"LinkTitle\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" Type=\"Computed\" ReadOnly=\"TRUE\" FromBaseType=\"TRUE\" Width=\"150\" DisplayNameSrcField=\"Title\" Sealed=\"FALSE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"13","Dive into your favorite topic with Microsoft 365 Copilot Chat","Whether you&#39;re diving into the depths of your favorite topic or uncovering the latest industry trends, let Microsoft 365 Copilot Chat guide you through your research.

Just click on the link, or open Copilot Chat and type in this prompt:","Prepare a daily brief of news from the [finance industry] regarding [cryptocurrency].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdJNE5tSXlaR1ppTFRZeU1tSXROR1F4WWkxaU56TTBMVFUyTWpka05HUmhPV0pqWkh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQ==","Feel empowered to dig deeper into other topics, pose follow-up questions, and unveil detailed insights.

Love to learn? Save this prompt by hovering over it and clicking the bookmark icon, and share the link with your team to keep on learning.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"14","Spark ideas with Microsoft 365 Copilot Chat","Ready to ignite your creativity? With Microsoft 365 Copilot Chat, you have a brainstorming buddy at your fingertips, ready to generate innovative ideas for your project. Let’s get creative!

Just click on the link, or open Copilot Chat and type in this prompt:","Suggest 10 ideas for [a group project on influencer marketing].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdNM01USTVOR0ZqTFdFeE1qY3ROR1kzTnkwNVlXTmhMVFpsWkRreFpEYzJaV1l5TW54bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Use this prompt to brainstorm and generate innovative ideas for your projects, meetings, and more.

There are never enough ideas, right? Quickly use this prompt again by hovering over it and clicking on the bookmark icon to save it.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"15","Let’s have some team fun with Microsoft 365 Copilot","Did you know that bananas are berries but strawberries aren’t? Or that octopuses have three hearts? Get ready to explore some interesting and random facts about the world with Microsoft 365 Copilot Chat.

Just click on the link, or open Copilot Chat and type in this prompt:","Tell me an interesting fact and hypothesize what it reveals about the world.","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRFNVpqSXdOams1TFRaaVl6Y3ROR1UzWXkwNVkyTTBMV0poTjJSaFl6SmlZMkZtWm54bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","This can be a great ice breaker prompt for your next team meeting. You can also share one of your own fun facts and ask what it reveals about yourself.

Hover over a submitted prompt and click the bookmark icon to save it.

Get ready for next week as we delve into mastering Copilot Chat to boost your organization and efficiency.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"16","Increase your organizational skills with Microsoft 365 Copilot Chat.","Get ready for an exciting week 4 of the Great Copilot Journey! This week, we’re diving into Microsoft 365 Copilot Chat to help you stay organized and get the most out of your workweek.

First up: better collaboration with your team.

Just click on the link, or open Copilot Chat and type in this prompt:","Suggest common questions that can be asked to get a retrospective started with my colleagues.","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRjM016VmlNVGxpTFdJME1XRXRORFppTnkwNE5tWXdMV1kxWW1KbE9HSmhPRFU1Wkh4bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Use prompts like this to break the ice, energize your meetings and spark meaningful conversations.

Fun tip: Hover over a prompt you&#39;ve sent and click the bookmark icon to save it. Then, share it with your team and let the fun begin!

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"17","Conquer your routine with Microsoft 365 Copilot Chat","ToDay , we’ll conquer your Day like a superhero. Use Microsoft 365 Copilot Chat to get inspiration to streamline your workDay and say hello to more productivity and efficiency throughout your Day .

Click on the link, or open Copilot Chat and type in this prompt:","Suggest a daily routine to help me stay organized at work.","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdRNFptVTRZakUyTFRVM1pEZ3ROREU0TkMxaE16RTJMVFJoT1RZMU1tVmtNek15T1h4bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","You can also ask Copilot for tips to conquer procrastination or streamline your daily routines.

Speaking of routines: Hover over your submitted prompt and click the bookmark icon to easily find it again later.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"18","Leverage Microsoft 365 Copilot as your personal coach","Did you know that with Microsoft 365 Copilot Chat, you can unlock expert advice and tailored coaching to conquer your goals and elevate your success? Let’s give it a shot.

Just click on the link, or open Copilot Chat and type in this prompt:","What questions should I ask myself when making a decision about [changing my career]?","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRnME5XSmhPR1E1TFRjMk1tSXROREU1TXkwNE16TXlMVGd4TVdNeE5UYzBOVGsxT1h4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Think of Copilot Chat as your personal coach, ready to offer advice! Just add more details and get advice at your fingertips.

An extra piece of advice: Save this prompt and share it with your team. Just hover over the prompt and click on the bookmark icon.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"19","Let’s get creative with Microsoft 365 Copilot Chat","Unleash your inner artist with Microsoft 365 Copilot Chat and craft stunning visuals with ease and flair. Ready to transform your ideas into captivating images? Let your imagination soar with toDay ’s prompt.

Just click on the link, or open Copilot Chat and type in this prompt:","Create a professional-looking background that highlights [the early signs of spring].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdRd09EVTRZV1V4TFRWaFlqUXRORGt3WXkxaFlqQmtMVFJqTkdSaU5XUTROV00zTTN4bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","You don’t need to be a creative designer to craft stunning visuals‍—Copilot Chat is here to assist you every step of the way

You don’t have to wait for the next season. Just save this prompt by clicking on the bookmark icon and create something new anytime.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"20","Use a touch of humor before your trip with Microsoft 365 Copilot Chat","Who doesn’t love a trip to sunny beaches or snowy mountains? Let’s start your vacation early by using Microsoft 365 Copilot Chat to write your Out of Office messages that will leave your coworkers chuckling. Ready?

Just click on the link, or open Copilot Chat and type in this prompt:","Write some funny Out of Office email responses to use while I’m on vacation in [Hawaii] from [March 11-15].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdWbU5tSTBZMlZpTFdVeE5HTXRORFZrTVMxaFkyTTVMV1kzTW1VeU1UazFOR1F4T0h4bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","A touch of humor can make your time away more fun and enjoyable, even for your coworkers. Enjoy!
 
If you love the prompts, you can easily save them by hovering over and clicking the bookmark icon. You can also share your favorite prompts with your team to inspire and collaborate effectively.
 
Next week, we&#39;ll harness the power of Copilot Chat to unlock your full potential and fuel your personal growth.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"21","Leverage Microsoft 365 Copilot Chat for personal and professional growth.","In week 5, let’s embark on an exciting chapter of the Great Copilot Journey! Discover the potential of Microsoft 365 Copilot Chat to enhance your skills, drive personal growth, and achieve new heights.
 
Let’s start by learning best practices.

Just click on the link, or open Copilot Chat and type in this prompt:","How do I write a [request for proposal]?","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdVek5HSTVaamMzTFRJMk5UTXROREkyTkMxaE1UTXpMVFkxT0RKallqazNZekZoTVh4bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Unleash Copilot&#39;s potential to gain insights and best practices on topics that piques your interest!
 
Save this handy prompt for future use. Just hover over a submitted prompt and click the bookmark icon to save it or share the link with your team.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"22","Explore your favorite topic with Microsoft 365 Copilot Chat","Ever wanted to learn something new but never had the time to do so? Microsoft 365 Copilot Chat can help you expand your knowledge in no time!

Just click on the link, or open Copilot Chat and type in this prompt:","Help me learn about [macroeconomics].","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRjell6QmlObVJpTFRjME4yWXRORFJpTnkwNFpEYzFMVGhoWm1ReE9ERTJaams1Wm54bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Explore your favorite subject or delve into a new topics. Copilot is ready to help you learn.
 
Want to save or share this prompt? Just hover over it and click the bookmark icon!

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"23","Get tips and tricks with Microsoft 365 Copilot Chat","It’s time to learn some tips and tricks. ToDay , we’ll ask Microsoft 365 Copilot Chat to provide you with best practices to help you improve your skills and expand your expertise.

Just click on the link, or open Copilot Chat and type in this prompt:","What are some tips for writing a great [LinkedIn post]?","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRkaU9UQXdOak5pTFRVd09HVXRORE5pTUMxaU5XUTRMV0kxTjJJeE1UVTFZak01T0h4bGJpMVZVdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Enhance your personal brand or get tips and tricks to improve your skills.
 
Here’s another tip: Keep learning by saving this prompt. Just hover over it and click on the bookmark icon.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"24","Use Microsoft 365 Copilot Chat to explore your favorite topic.","Whether you’re thinking about a big purchase decision or exploring a topic you’re curious about, asking the right questions can help lead you on the path to informed decisions and deeper knowledge. Let’s dive in with Microsoft 365 Copilot Chat.

Just click on the link, or open Copilot Chat and type in this prompt:","Can you provide a comprehensive list of questions to ask about [space exploration technologies] to gain deeper insights?","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdNMlpHRTBNMlZtTFRobE5HSXRORFJoWkMxaU1XTTBMVFk0T0RnMlpqVm1NV1ZtWW54bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQo=","Ask Copilot Chat to explore the questions you are most interested in to dive even deeper into your topic.
 
A prompt for you? Share this prompt with your team and save it to your prompts. Just hover over the submitted prompt and click the bookmark button.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"25","Create your secret sauce to success with Microsoft 365 Copilot Chat","Sometimes unconventional advice can be the secret to success. Let’s use Microsoft 365 Copilot Chat to help you create your secret sauce to stand out and4 excel.

Just click on the link, or open Copilot Chat and type in this prompt:","If I wanted to master [public speaking], what unconventional advice would you offer?","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdJNFlUWXdaR1kwTFRNME9EY3RORGRtTWkwNVpEbGtMV0ZtTnpWaE1HRTBOVFZsWm54bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVsaW5rY29waWxvdGpvdXJuZXljb21tcyIsInByb3BlcnRpZXMiOnsicHJvbXB0U291cmNlIjoibWljcm9zb2Z0In0sImNoYXRUeXBlIjoid2ViIiwidmVyc2lvbiI6MS4xfQ==","Want to make this prompt more fun? Ask Copilot to present the advice in the style of a [tennis] coach.

Like this prompt? Hover over it, click the bookmark icon to save it, or share the link with your team.
 
You’re almost at the finish line! Next week, we’ll dive into advanced tips and tricks to help you get the most out of Copilot on your own.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"26","You made it! Discover advanced tips and tricks to master Microsoft 365 Copilot Chat.","Congratulations! You&#39;ve reached the final week of the Great Copilot Journey! Now that you&#39;ve mastered the guided prompts, it&#39;s time to explore the possibilities of Microsoft 365 Copilot Chat on your own. This week, we&#39;ll provide best practices and valuable resources to empower your continued success.
 
Keep the momentum going with prompts from the Copilot Prompt Gallery.","Learn essential tips and tricks to craft effective prompts and discover curated prompts that are ready to use.","https://www.Copilot.Microsoft.com","Save this resource and share it with your teammates to boost their Copilot skills and discover new prompts.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"27","Learn how to use Agent Builder in Microsoft 365 Copilot Chat","Did you know that you can create your own custom agent in Microsoft 365 Copilot Chat? Agents can handle complex tasks and processes for you, like helping you project manage or checking a document for compliance. These AI-driven agents are experts who can work alongside you. Let’s create one!","Utilize the Agent Builder in Copilot Chat to create agents tailored to your specific needs.","https://aka.ms/Copilot/JourneyAgents","To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"28","Find inspiration with the Copilot Scenario Library","Need some inspiration to see how you can use Microsoft 365 Copilot Chat for your specific role or industry? We have just the right resource for you:","Discover creative ways to use Copilot Chat with specific use cases for various different industries or departments.","https://aka.ms/Copilot/JourneyLibrary","Bookmark this resource and find regularly updated scenarios and ideas to help improve your workDay .

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"29","Imagine a dream destination with Microsoft 365 Copilot Chat","You’re almost at the end of the Great Copilot Journey, so let’s dream up a destination together! Ever wanted to stay in a hotel on the moon or find a cozy café tugged away in a fairytale forest? Now’s the time to imagine just that while learning prompting best practices!","Improve your prompting skills with a step-by-step guide to creating your dream destination. Let your imagination run wild.","https://aka.ms/Copilot/JourneyProject","Complete this project as a team activity and create your own team’s travel magazine. It takes about 20 minutes to complete.

To learn more or see what’s ahead on your journey, visit aka.ms/Copilot/ChatJourney."
"30","Let’s celebrate your achievement!","Congratulations on completing the Great Copilot Journey! After 30 Day s, you are now a Copilot Power User!","Download your completion badge and share it with your team and network to showcase your accomplishment","https://aka.ms/Copilot/JourneyBadge","We hope you enjoyed the Great Copilot Journey! But don't let the adventure end here. Dive back in anytime by visiting aka.ms/Copilot/ChatJourney and keep exploring the possibilities that Copilot Chat has to offer. Keep pushing the boundaries of your imagination and see where Copilot can take you next!"
